Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,Actual Result Iteration 1,Status Iteration 1,Actual Result Iteration 2,Status Iteration 2,Comments
TC_NEGATIVE_046,Verify system behavior with invalid file uploads,System should handle invalid file types,System should reject invalid file uploads with appropriate error messages,"1. Open Browser
2. Navigate to url                                  1. Login to system
2. Navigate to employee profile
3. Attempt to upload invalid file type (.exe) as photo
4. Try uploading oversized image file
5. Upload file with special characters in name
6. Test uploading corrupted file
7. Verify error messages are displayed
8. Check system stability after invalid uploads","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Invalid files: .exe file, oversized image, corrupted file, special character filename","Invalid files should be rejected with clear error messages, system should remain stable, only valid file types should be accepted"," System restricted the post to the maximum allowed characters, and extra characters were not accepted.  ",Failed,,,
TC_PERFORMANCE_047,Verify system performance under concurrent user load,Multiple user accounts available,System should maintain performance with multiple concurrent users,"1. Open Browser
2. Navigate to url                                     1. Simulate  user logins
2. Have users perform various operations simultaneously
3. Monitor system response times
4. Check database connection handling
5. Verify no data corruption occurs
6. Test session management
7. Check system resource utilization
8. Monitor error rates during peak load","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.20+ concurrent users performing various operations","System should handle concurrent users without significant performance degradation, response times should remain acceptable, no data corruption should occur",User was not able to delete another user’s post; delete option was unavailable.  ,Failed,,,
TC_MOBILE_048,Verify mobile responsiveness and functionality,OrangeHRM system accessible via mobile device,System should work properly on mobile devices with responsive design,"1. Open Browser
2. Navigate to url                                           1. Access OrangeHRM from mobile browser
2. Test login functionality on mobile
3. Verify navigation menu works on small screen
4. Test form filling on mobile device
5. Check touch interactions
6. Verify responsive layout adjustments
7. Test portrait/landscape orientation
8. Check mobile-specific features","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Mobile device with various screen sizes and orientations","System should be fully functional on mobile devices, layout should be responsive, all features should work with touch interface","User successfully posted a Buzz message with attachments, and attachments were visible.  ",Passed,,,
TC_BROWSER_049,Verify cross-browser compatibility,Different web browsers available for testing,System should work consistently across different web browsers,"1. Test system on Chrome browser
2. Test system on Firefox browser
3. Test system on Safari browser
4. Test system on Edge browser
5. Verify consistent functionality across browsers
6. Check CSS rendering differences
7. Test JavaScript functionality
8. Verify form submissions work in all browsers","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Chrome, Firefox, Safari, Edge browsers","System should work consistently across all major browsers, functionality should be identical, UI should render correctly",User successfully searched and located the desired Buzz post using keywords,Failed,,,
TC_API_050,Verify API endpoints and data exchange,API access configured and documentation available,System APIs should work correctly for data exchange and integration,"1. Open Browser
2. Navigate to url                                       1. Test employee data API endpoints
2. Verify authentication for API access
3. Test data retrieval operations
4. Test data creation/update operations
5. Check API response formats (JSON/XML)
6. Verify error handling in APIs
7. Test rate limiting if implemented
8. Check API documentation accuracy","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.API endpoints for employee, leave, time tracking data","APIs should work correctly with proper authentication, data exchange should be accurate, error handling should be robust",User successfully logged out and was redirected to the login page.  ,Failed,,,
TC_LOCALIZATION_051,Verify system localization and language support,Multiple language packs available,System should support multiple languages and localization,"1. Open Browser
2. Navigate to url                                      1. Login to system
2. Change language setting to Spanish
3. Verify interface elements are translated
4. Check date/time format changes
5. Test form validation messages in new language
6. Change to French language
7. Verify currency format localization
8. Test email notifications in selected language","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Language options: Spanish, French, date/currency formats","System should display correctly in selected languages, date/currency formats should localize, all interface elements should be translated","System automatically logged out the user after the inactivity period, showing the login page.  ",Passed,,,
TC_NOTIFICATION_052,Verify email notification system functionality,Email server configured and user email addresses set,System should send appropriate email notifications for various events,"1. Open Browser
2. Navigate to url                                  1. Configure email notifications for leave applications
2. Employee applies for leave
3. Verify supervisor receives email notification
4. Supervisor approves leave
5. Verify employee receives approval email
6. Test timesheet submission notifications
7. Test performance review notifications
8. Check email template formatting","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.SMTP configuration, user email addresses, various notification triggers","Email notifications should be sent for appropriate events, emails should be properly formatted, recipients should receive timely notifications","Database backup was triggered successfully, and the backup file was generated. ",Failed,,,
,,,,,,,,,,,
TC_Ep1_001,Verify valid user login and logout.,1.Browser should be open.2.User should be on the home page,User must have valid username &password,"1.Open Browser
2.Navigate to url
3.Enter valid E-mail and password
4.Click Login.
5.Verify dashboard loads.
6.Click on user profile
7.Click on ""Logout""","1. Browser
2.Open URL https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
3.Username: Admin
4.Password: admin123","User Should be login successfully  and Redirected to dashboard
and user able to Logout ",1.User Should Successfully Login and Logout .,Pass,,,
TC_Ep2_002,Verify admin and Add new Employee and Search for Employee In employee List.,"1.Browser should be Open  with  OrangeHRM
2.User Should be on home Page 
3.PIM module should Enabled.","1.Verify Successful Login
2.Search for Employee
3.Employee details should be valid

","1.Open Browser 
2.Navigate to url 
3.Login as Admin.
4.Navigate to Admin 
5.Add Employee.
6.Enter user details and save.
7.Navigate to Employee List, search by employee name/ID.
8.Click on Logout
","1.Browser 
2.Open URL https://opensource-demo.orangehrmlive.com/web/iG56ndex.php/auth/login
3.UserRole=Admin          4.Employee name:James Butler
4.Status=Enabled
5.Username=james1
6.password:James@1234
7.Confirm Password:James@1234","User should be logged In and  System user should be created and the result should Appear in Search results.

",1.User added and displayed successfully.,Pass,,,
TC_Ep3_003,Verify employee search in PIM widget.,"1.Browser should be Open with OrangeHRM
2.User should be logged In.
3.Employee account Should exist.
4.HR admin Account should exists.","1.Verify Successful Login.
2.Search for Employee.
3.Employee details should be valid.
4.Leave Type should be available.
5.Employee should leave balance.
","1.Open Browser
2.Navigate to url
3.Login as Employee
4.Navigate to PIM 
5.Search Employee
6.Employe name
7.Employee EID          8.Supervisor Name
8.And search","1.Browser.
2.Open URL https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
3.Employeename=Alex  Brown
4.EmployeeID: E103
5.SupervisorName:Jane  Smith


",User Accounts should be exists  and  should able to search employee Information and employee data should should be found.,User Account existed  and  able to search employee Information and employee data  found below.,Pass,,,
TC_Ep4_004,"Verify My Leave Records
","1.Browser should be open with OrangeHRM
2.User accounts should be exists.
3.Leave widget should be present","1.Verify Successful Login.
2.My Leave 
","1.Open Browser.
2.Navigate to url.
3.Login as Admin.
4.Go to My Leave
5. Select FromDate
6. Select ToDate
7.Click on ""search"".
8.Login as HR admin.
9.Navigate to Employee Timesheets and approve timesheet.
10.Click on ""Logout"".

","1.Browser.
2.Open URL https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
3.From Date: 2025-01-01
4.To Date: 2025-31-12
",User Accounts should be exists  and My Leave  should be searched by Admin and records should be displayed.,User Account existed and My Leave   searched by Admin and no records displayed.,Fail,,,
TC_Ep5_005,"Verify customer projects
","1.Browser should be open with OrangeHRM
2.User accounts should be exists.
3.Prrojects should be Assigned","1.Verify Successful Login.
2.Employee Must enter valid project.
","1.Open Browser.
2.Navigate to url.
3.Login as Employee.
4.Go to My Time widget.
5.Go to  Projects Info         6.Selct Projects
7.Enter Customer Name
8.Enter Project name
9.click search

","1.Browser.
2.Open URL https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
3.Customer name:
ACME Ltd                       4. Project name: 
ACME Ltd",User Accounts should be exists  and project should be available by employee and project should be displayed with related data.,User Account exists  and project is available and project  displayed with related data.,Pass,,,
